"X"	"text"	"coref."	"correction."	"pos."	"X.1"	"trans."	"combo"
"166"	3086	"To get on Obama's list for clemency you have to have REALLY damaged our country. Chelsea Manning, his Buds in GITMO, etc. Is Hillary next?"	0	NA	NA	NA	"no"	"he-Chelsea"
"167"	2853	"Twitter pulls Sky journo Adam Boulton's leg as he confuses spy Chelsea Manning with Bradley Wiggins:… https://t.co/DmEYjgGAXu"	0	NA	NA	NA	"yes"	"he-Chelsea"
"168"	7820	"WASHINGTON: WikiLeaks founder Julian Assange says he'll stand by his offer to be extradited to US as long as Chelsea Manning is released."	0	NA	NA	NA	"no"	"he-Chelsea"
"169"	3705	"we just gonna forget he locked up Chelsea Manning in a men's prison for 7 years and tortured her"	0	NA	NA	NA	"yes"	"he-Chelsea"
"170"	9975	"WIKILEAKS founder Julian Assange has stood by his offer to go to the US now Chelsea Manning is being released. ...… https://t.co/ga4N3N4UXD"	0	NA	NA	NA	"no"	"he-Chelsea"
"171"	4543	"WikiLeaks founder Julian Assange retreated from his pledge to accept extradition to the U.S. if Chelsea Manning was granted clemency"	0	NA	NA	NA	"no"	"he-Chelsea"
"172"	2997	"With Chelsea Manning's Commuted Sentence, Will Assange Keep His Word? - IVN.us https://t.co/WAiMsSibn0"	0	NA	NA	NA	"no"	"he-Chelsea"
"173"	3802	" USER USER Please stop calling him Chelsea...traitor's name is Bradley Manning...just 'cause he wears a wig doesn't make him a girl"	1	1	-1	NA	"yes"	"he-Bradley"
"174"	2308	"USER USER USER come on tell the truth it's Bradley Manning, will always be Bradley Manning.The worthless turd that he is"	1	1	-1	NA	"yes"	"he-Bradley"
"175"	3230	" USER USER Bradley Manning is NOT a \"her\". Don't believe me? Check his DNA. It's right there in \"X &amp; Y\". #StillADude #MAGA #Trump2020"	1	1	-1	NA	"yes"	"he-Bradley"
"176"	745	" USER USER No. I didn't mispell anything. Bradley Manning is a HE, regardless of if he likes it or not."	1	1	-1	NA	"yes"	"he-Bradley"
"177"	1160	"USER it's now Chelsea Manning not Bradley Manning, the guy had gender reassignment surgery. So now he is a she"	1	1	0	NA	"yes"	"he-Bradley"
"178"	8906	"#Nobama strikes...1st he pardons that GUY &amp; #Traitor  #NoMorePrivateParts Bradley Manning. El Chapo in USA, he will prob pardon him too..."	0	1	NA	NA	"yes"	"he-Bradley"
"179"	6063	"USERmkmagicannon Maybe he didn't because there is no Bradley Manning in prison. However there is a Chelsea with that last name, maybe her?"	0	1	NA	NA	"yes"	"he-Bradley"
"180"	8056	"#ThankYouObama for pardoning Bradley Manning after he became Chelsea Manning. Thx, society really needed that. https://t.co/cvZ1xpDlIT"	1	NA	0	-0.666666667	"yes"	"he-Bradley"
"181"	4891	"USER USER Bradley Manning is a traitor &amp; he should not be commuted for his treachery because he clai… https://t.co/8NTOL9r6cr"	1	NA	-1	NA	"no"	"he-Bradley"
"182"	3959	"USER USER Bradley Manning to start GoFundMe campaign to cut his dick off"	1	NA	-1	NA	"yes"	"he-Bradley"
"183"	8474	"USERrealdonaldtrump just a thought. why don't you send Bradley manning to the worst FEMA!e prison in the US for the rest of his term?"	1	NA	-1	NA	"yes"	"he-Bradley"
"184"	5354	"USER USER Twisted is how I would call Bradley Manning and his supporters. BTW, how do *you* define a woman"	1	NA	-1	NA	"yes"	"he-Bradley"
"185"	6245	"Called it! LMAO! &gt; Tranny Traitor Bradley Manning Just Received WORST News Of His Life Hours After Being Pardoned - https://t.co/FRQZv1Y334"	1	NA	-1	NA	"yes"	"he-Bradley"
"186"	3592	"Can this Bradley Manning commutation by Obama be reversed?  R there other charges he can face?  This is a HUGE miscarriage of #justice!"	1	NA	-1	NA	"no"	"he-Bradley"
"187"	2560	"Ever think that Bradley Manning might have done it so he could get free reassignment into Chelsea?"	1	NA	-1	NA	"yes"	"he-Bradley"
"188"	8803	"He gotta keep Bradley Manning locked up though. Over 750,000 documents/files? Naw, keep his ass in jail."	1	NA	-1	NA	"no"	"he-Bradley"
"189"	2960	"I wonder if Bradley had self ID'd as a white man wld his sentnce be commutd?  Bet not!
https://t.co/AiRTcFIffb"	1	NA	-1	NA	"yes"	"he-Bradley"
"190"	8095	"Just in case no one has figured this out, Bradley Manning was tortured into becoming something he wasn't.."	1	NA	1	NA	"yes"	"he-Bradley"
"191"	3318	"Just reported: Bradley Manning lost his health insurance b/c of his DISHONORABLE DISCHARGE
So now he has to pay for… https://t.co/qERTW83dch"	1	NA	0	NA	"yes"	"he-Bradley"
"192"	2870	"Let's not kid ourselves if Bradley Manning didnt do the whole Chelsea thing he wouldn't have been commuted.  Obama is a narrative president."	1	NA	-1	NA	"yes"	"he-Bradley"
"193"	2917	"Sources confirm that Bill Mitchell's only problem with the Bradley Manning is he wouldn't take his suggestion for a surgeon."	1	NA	0	NA	"yes"	"he-Bradley"
"194"	9557	"Tranny Traitor Bradley Manning Just Received WORST News Of His Life Hours After Being Pardoned HA HA the traitor has to pay for perversion"	1	NA	-1	NA	"yes"	"he-Bradley"
"195"	5622	"USER Nope. Obama is a war criminal -- based on his actions outside the Constitution.  And Bradley Manning is a traitor."	0	NA	NA	NA	"no"	"he-Bradley"
"196"	2910	"USER \"maybe he should bring the traitor who compromised agents Bradley Manning USERBarackObama is realeasing https://t.co/MtFW7OPCvF"	0	NA	NA	NA	"no"	"he-Bradley"
"197"	8172	"USER I guess u want him to dance with Bradley Manning, no, USERrealDonaldTrump better not.  Your spin is sick"	0	NA	NA	NA	"no"	"he-Bradley"
"198"	8497	"USER USER well I don't know who owns him but if POTUS commuted old Bradley Manning on a chance Assange would come in he's stupid!"	0	NA	NA	NA	"no"	"he-Bradley"
"199"	1388	"USER USER He calls Bradley Manning Chelsea he is a professional liar"	0	NA	NA	NA	"yes"	"he-Bradley"
"200"	7031	"USER Chelsea Bradley Manning thanks him too.. Breathtaking hypocrisy."	0	NA	NA	NA	"yes"	"he-Bradley"
"201"	8374	"USER The fact that he commuted traitor Bradley (Chelsea) Manning's sentence speaks volumes about Obama's character or lack of."	0	NA	NA	NA	"no"	"he-Bradley"
"202"	3612	"USER If only we could trade him for Pvt Bradley Manning"	0	NA	NA	NA	"no"	"he-Bradley"
"203"	4316	"USER USER  it's O-ver ! Obama and his Bradley manning 'wife' evicted!  Hillary wandering the woods in NY..   MAGA !"	0	NA	NA	NA	"yes"	"he-Bradley"
"204"	5487	"America how does your 2 term Anti-American President Obama showing his true colors with Bradley Manning &amp; Oscar Lopez-Rivera DISGRACEFUL"	0	NA	NA	NA	"no"	"he-Bradley"
"205"	8976	"EVEN JUDGE JUDY thinks obama's  pardon of Bradley Manning was not wise judgement GO Figure she has more respect for the public than he does"	0	NA	NA	NA	"no"	"he-Bradley"
"206"	2147	"I thought today would be bitter sweet, but the good feelings I had left for Obama disappeared when he released that fuck Bradley Manning"	0	NA	NA	NA	"no"	"he-Bradley"
"207"	8220	"The idea that Obama released Bradley  Manning is proof of his insanity"	0	NA	NA	NA	"no"	"he-Bradley"
"208"	2853	"Twitter pulls Sky journo Adam Boulton's leg as he confuses spy Chelsea Manning with Bradley Wiggins:… https://t.co/DmEYjgGAXu"	0	NA	NA	NA	"no"	"he-Bradley"
"209"	1213	"We need to talk at paul rayns phone until his eyes pop out its funny, hes up tite about bradley manning, think about the things he does! !"	0	NA	NA	NA	"no"	"he-Bradley"
